Episode 1: reward: 37.600, steps: 196
Episode 2: reward: 0.900, steps: 49
Episode 3: reward: 79.100, steps: 351
Episode 4: reward: 96.000, steps: 420
Episode 5: reward: 68.100, steps: 311
Episode 6: reward: 5.900, steps: 69
Episode 7: reward: 20.500, steps: 125
Episode 8: reward: 89.900, steps: 399
Episode 9: reward: 79.300, steps: 353
Episode 10: reward: 1.400, steps: 54
Episode 11: reward: 130.100, steps: 561
Episode 12: reward: 66.600, steps: 306
Episode 13: reward: 233.200, steps: 952
Episode 14: reward: 9.300, steps: 83
Episode 15: reward: 4.100, steps: 61
Episode 16: reward: 9.100, steps: 81
Episode 17: reward: 10.700, steps: 87
Episode 18: reward: 37.600, steps: 196
Episode 19: reward: 29.000, steps: 160
Episode 20: reward: 170.500, steps: 705
Episode 21: reward: 29.600, steps: 166
Episode 22: reward: 51.500, steps: 255
Episode 23: reward: 58.200, steps: 282
Episode 24: reward: -0.300, steps: 47
Episode 25: reward: 191.900, steps: 799
Episode 26: reward: 6.600, steps: 76
Episode 27: reward: 27.400, steps: 154
Episode 28: reward: 9.000, steps: 80
Episode 29: reward: 10.700, steps: 87
Episode 30: reward: 25.000, steps: 150
Episode 31: reward: 9.500, steps: 85
Episode 32: reward: 73.000, steps: 330
Episode 33: reward: 8.900, steps: 79
Episode 34: reward: 18.200, steps: 122
Episode 35: reward: 126.600, steps: 546
Episode 36: reward: 4.200, steps: 62
Episode 37: reward: 2.500, steps: 55
Episode 38: reward: 90.500, steps: 395
Episode 39: reward: 85.500, steps: 375
Episode 40: reward: 39.000, steps: 200
Episode 41: reward: 3.000, steps: 60
Episode 42: reward: 22.300, steps: 133
Episode 43: reward: 2.100, steps: 51
Episode 44: reward: 94.300, steps: 413
Episode 45: reward: 38.900, steps: 199
Episode 46: reward: 40.800, steps: 208
Episode 47: reward: 40.800, steps: 208
Episode 48: reward: 4.100, steps: 61
Episode 49: reward: 54.700, steps: 267
Episode 50: reward: 25.800, steps: 148
Episode 1: reward: 4.000, steps: 60
