Episode 1: reward: 14.600, steps: 106
Episode 2: reward: 9.200, steps: 82
Episode 3: reward: 118.300, steps: 513
Episode 4: reward: 35.800, steps: 188
Episode 5: reward: 127.600, steps: 546
Episode 6: reward: 22.100, steps: 131
Episode 7: reward: -0.300, steps: 47
Episode 8: reward: 150.700, steps: 627
Episode 9: reward: 55.000, steps: 270
Episode 10: reward: 25.100, steps: 151
Episode 11: reward: 52.700, steps: 257
Episode 12: reward: -6.000, steps: 20
Episode 13: reward: 132.900, steps: 569
Episode 14: reward: 46.400, steps: 234
Episode 15: reward: 31.200, steps: 172
Episode 16: reward: 126.600, steps: 546
Episode 17: reward: 134.300, steps: 573
Episode 18: reward: 101.500, steps: 445
Episode 19: reward: 22.900, steps: 139
Episode 20: reward: 92.300, steps: 403
Episode 21: reward: -5.600, steps: 24
Episode 22: reward: 42.700, steps: 217
Episode 23: reward: 3.200, steps: 62
Episode 24: reward: 58.300, steps: 283
Episode 25: reward: 129.300, steps: 553
Episode 26: reward: 3.100, steps: 61
Episode 27: reward: 89.600, steps: 396
Episode 28: reward: 9.100, steps: 81
Episode 29: reward: 4.900, steps: 69
Episode 30: reward: 34.300, steps: 183
Episode 31: reward: 19.900, steps: 129
Episode 32: reward: 6.400, steps: 74
Episode 33: reward: 19.800, steps: 128
Episode 34: reward: 52.900, steps: 259
Episode 35: reward: 142.800, steps: 598
Episode 36: reward: 49.700, steps: 247
Episode 37: reward: 38.800, steps: 198
Episode 38: reward: 76.800, steps: 348
Episode 39: reward: 4.300, steps: 63
Episode 40: reward: 9.100, steps: 81
Episode 41: reward: 3.700, steps: 57
Episode 42: reward: 57.400, steps: 274
Episode 43: reward: 18.200, steps: 122
Episode 44: reward: 93.000, steps: 410
Episode 45: reward: 21.200, steps: 132
Episode 46: reward: 25.500, steps: 145
Episode 47: reward: 4.200, steps: 62
Episode 48: reward: 9.200, steps: 82
Episode 49: reward: 19.000, steps: 120
Episode 50: reward: 148.100, steps: 621
Episode 1: reward: 116.400, steps: 504
Episode 2: reward: 2.200, steps: 52
Episode 3: reward: 56.600, steps: 276
Episode 4: reward: 51.200, steps: 252
Episode 5: reward: 52.900, steps: 259
Episode 6: reward: 117.200, steps: 512
Episode 7: reward: 21.600, steps: 136
Episode 8: reward: 52.900, steps: 259
Episode 9: reward: 126.600, steps: 546
Episode 10: reward: 16.400, steps: 114
Episode 11: reward: 26.200, steps: 152
Episode 12: reward: 4.100, steps: 61
Episode 13: reward: 49.700, steps: 247
Episode 14: reward: 54.800, steps: 268
Episode 15: reward: 86.000, steps: 380
Episode 16: reward: 67.600, steps: 306
Episode 17: reward: 41.700, steps: 217
Episode 18: reward: -0.300, steps: 47
Episode 19: reward: 4.100, steps: 61
Episode 20: reward: 11.100, steps: 91
Episode 21: reward: 52.900, steps: 259
Episode 22: reward: 3.700, steps: 57
Episode 23: reward: 163.700, steps: 677
Episode 24: reward: 29.400, steps: 164
Episode 25: reward: 62.600, steps: 296
Episode 26: reward: 3.100, steps: 61
Episode 27: reward: 25.000, steps: 150
Episode 28: reward: 98.800, steps: 438
Episode 29: reward: 94.500, steps: 415
Episode 30: reward: 54.700, steps: 267
Episode 31: reward: 2.000, steps: 50
Episode 32: reward: 5.000, steps: 70
Episode 33: reward: 54.500, steps: 265
Episode 34: reward: 44.600, steps: 226
Episode 35: reward: 29.500, steps: 165
Episode 36: reward: 5.600, steps: 66
Episode 37: reward: 39.200, steps: 202
Episode 38: reward: 53.100, steps: 261
Episode 39: reward: 31.300, steps: 173
Episode 40: reward: 68.100, steps: 311
Episode 41: reward: 16.300, steps: 113
Episode 42: reward: 21.500, steps: 135
Episode 43: reward: 27.700, steps: 157
Episode 44: reward: 33.000, steps: 180
Episode 45: reward: 52.900, steps: 259
Episode 46: reward: 18.100, steps: 121
Episode 47: reward: 19.800, steps: 128
Episode 48: reward: 6.600, steps: 76
Episode 49: reward: 42.700, steps: 217
Episode 50: reward: 16.300, steps: 113
Episode 1: reward: 19.600, steps: 126
Episode 2: reward: 128.000, steps: 550
Episode 3: reward: 44.300, steps: 223
Episode 4: reward: 170.000, steps: 710
Episode 5: reward: 19.200, steps: 122
Episode 6: reward: 5.900, steps: 69
Episode 7: reward: 129.400, steps: 554
Episode 8: reward: 3.100, steps: 61
Episode 9: reward: 61.800, steps: 288
Episode 10: reward: 37.100, steps: 191
Episode 11: reward: 26.000, steps: 150
Episode 12: reward: 93.200, steps: 412
Episode 13: reward: 155.700, steps: 647
Episode 14: reward: 2.100, steps: 51
Episode 15: reward: 9.400, steps: 84
Episode 16: reward: 27.800, steps: 158
Episode 17: reward: 128.400, steps: 554
Episode 18: reward: 228.000, steps: 930
Episode 19: reward: 28.000, steps: 160
Episode 20: reward: 59.100, steps: 281
Episode 21: reward: 2.200, steps: 52
Episode 22: reward: 16.300, steps: 113
Episode 23: reward: 92.800, steps: 408
Episode 24: reward: 42.700, steps: 217
