Episode 1: reward: 4.300, steps: 63
Episode 2: reward: 3.100, steps: 61
Episode 3: reward: 6.100, steps: 71
Episode 4: reward: 7.200, steps: 72
Episode 5: reward: 73.300, steps: 333
Episode 6: reward: 36.600, steps: 196
Episode 7: reward: 27.800, steps: 158
Episode 8: reward: 62.700, steps: 297
Episode 9: reward: 6.300, steps: 73
Episode 10: reward: 36.500, steps: 195
Episode 11: reward: 39.400, steps: 204
Episode 12: reward: 7.800, steps: 78
Episode 13: reward: 3.900, steps: 59
Episode 14: reward: 136.700, steps: 587
Episode 15: reward: 19.600, steps: 126
Episode 16: reward: 6.500, steps: 75
Episode 17: reward: 4.800, steps: 68
Episode 18: reward: 44.800, steps: 228
Episode 19: reward: 40.800, steps: 208
Episode 20: reward: 65.400, steps: 304
Episode 21: reward: 43.500, steps: 225
Episode 22: reward: 4.300, steps: 63
Episode 23: reward: 16.100, steps: 111
Episode 24: reward: 79.600, steps: 356
Episode 25: reward: 18.100, steps: 121
Episode 26: reward: 6.600, steps: 76
Episode 27: reward: 16.000, steps: 110
Episode 28: reward: 7.800, steps: 78
Episode 29: reward: 53.900, steps: 259
Episode 30: reward: 6.600, steps: 76
Episode 31: reward: 21.200, steps: 132
Episode 32: reward: 103.200, steps: 452
Episode 33: reward: 4.900, steps: 69
Episode 34: reward: -0.500, steps: 45
Episode 35: reward: 78.700, steps: 357
Episode 36: reward: 6.700, steps: 77
Episode 37: reward: 5.000, steps: 70
Episode 38: reward: 45.200, steps: 232
Episode 39: reward: 3.200, steps: 62
Episode 40: reward: 36.200, steps: 192
Episode 41: reward: 91.700, steps: 407
Episode 42: reward: 57.600, steps: 276
Episode 43: reward: 43.000, steps: 220
Episode 44: reward: 121.100, steps: 521
Episode 45: reward: 21.500, steps: 135
Episode 46: reward: 2.600, steps: 56
Episode 47: reward: 68.100, steps: 311
Episode 48: reward: 33.000, steps: 180
Episode 49: reward: 36.000, steps: 190
Episode 50: reward: 19.100, steps: 121
Episode 1: reward: 55.900, steps: 269
Episode 2: reward: 14.600, steps: 106
Episode 3: reward: 50.700, steps: 247
Episode 4: reward: 108.300, steps: 473
Episode 5: reward: 19.900, steps: 129
Episode 6: reward: 129.700, steps: 557
Episode 7: reward: 40.700, steps: 207
