Episode 1: reward: 248.000, steps: 1010
Episode 2: reward: 54.900, steps: 269
Episode 3: reward: 177.900, steps: 739
Episode 4: reward: 127.600, steps: 546
Episode 5: reward: 213.600, steps: 876
Episode 6: reward: 41.600, steps: 216
Episode 7: reward: 62.500, steps: 295
Episode 8: reward: 204.100, steps: 841
Episode 9: reward: 49.700, steps: 247
Episode 10: reward: 160.300, steps: 673
Episode 11: reward: 113.300, steps: 493
Episode 12: reward: 6.300, steps: 73
Episode 13: reward: 21.100, steps: 131
Episode 14: reward: 24.300, steps: 143
Episode 15: reward: 12.900, steps: 99
Episode 16: reward: 264.500, steps: 1075
Episode 17: reward: 42.400, steps: 214
Episode 18: reward: 88.300, steps: 393
Episode 19: reward: 59.900, steps: 289
Episode 20: reward: 56.600, steps: 276
Episode 21: reward: 92.200, steps: 402
Episode 22: reward: 54.800, steps: 268
Episode 23: reward: 44.400, steps: 224
Episode 24: reward: 127.600, steps: 546
Episode 25: reward: 226.500, steps: 925
Episode 26: reward: 37.400, steps: 194
Episode 27: reward: 305.600, steps: 1236
Episode 28: reward: 52.900, steps: 259
Episode 29: reward: 312.200, steps: 1262
Episode 30: reward: 7.100, steps: 71
Episode 31: reward: 70.600, steps: 316
Episode 32: reward: 52.900, steps: 259
Episode 33: reward: 243.600, steps: 996
Episode 34: reward: 54.700, steps: 267
Episode 35: reward: 49.400, steps: 244
Episode 36: reward: 52.900, steps: 259
Episode 37: reward: 62.600, steps: 296
Episode 38: reward: 102.700, steps: 447
Episode 39: reward: 54.900, steps: 269
Episode 40: reward: 119.800, steps: 518
Episode 41: reward: 201.300, steps: 833
Episode 42: reward: 126.600, steps: 546
Episode 43: reward: 59.200, steps: 282
Episode 44: reward: 99.800, steps: 438
Episode 45: reward: 23.100, steps: 141
Episode 46: reward: 465.000, steps: 1850
Episode 47: reward: 86.600, steps: 386
Episode 48: reward: 104.100, steps: 451
Episode 49: reward: 55.700, steps: 267
Episode 50: reward: 88.800, steps: 388
Episode 1: reward: 52.900, steps: 259
Episode 2: reward: 22.800, steps: 138
Episode 3: reward: 42.200, steps: 212
Episode 4: reward: -2.100, steps: 39
Episode 5: reward: 3.000, steps: 60
Episode 6: reward: 148.200, steps: 622
Episode 7: reward: 74.600, steps: 336
Episode 8: reward: 19.200, steps: 122
Episode 9: reward: -0.300, steps: 47
Episode 10: reward: 143.600, steps: 606
Episode 11: reward: 126.700, steps: 547
Episode 12: reward: 17.400, steps: 114
Episode 13: reward: 49.700, steps: 247
Episode 14: reward: 57.200, steps: 272
Episode 15: reward: 41.000, steps: 210
Episode 16: reward: 53.900, steps: 259
Episode 17: reward: 19.300, steps: 123
Episode 18: reward: 131.100, steps: 561
Episode 19: reward: 42.400, steps: 214
Episode 20: reward: 14.200, steps: 102
Episode 21: reward: 52.900, steps: 259
Episode 22: reward: 89.500, steps: 395
Episode 23: reward: 63.800, steps: 298
Episode 24: reward: 4.200, steps: 62
Episode 25: reward: 60.100, steps: 291
Episode 26: reward: 53.900, steps: 259
Episode 27: reward: 7.600, steps: 76
Episode 28: reward: 87.800, steps: 388
Episode 29: reward: 49.500, steps: 245
Episode 30: reward: 27.800, steps: 158
Episode 31: reward: 56.000, steps: 270
Episode 32: reward: -5.600, steps: 24
Episode 33: reward: 75.000, steps: 340
Episode 34: reward: 33.000, steps: 180
Episode 35: reward: 3.100, steps: 61
Episode 36: reward: 46.000, steps: 230
Episode 37: reward: 61.700, steps: 297
Episode 38: reward: 4.400, steps: 64
Episode 39: reward: 129.900, steps: 559
Episode 40: reward: 44.300, steps: 223
Episode 41: reward: 38.200, steps: 202
Episode 42: reward: -3.800, steps: 32
Episode 43: reward: 21.200, steps: 132
Episode 44: reward: 16.300, steps: 113
Episode 45: reward: 0.900, steps: 49
Episode 46: reward: 161.300, steps: 673
Episode 47: reward: -0.200, steps: 48
Episode 48: reward: 35.900, steps: 189
Episode 49: reward: 53.900, steps: 259
Episode 50: reward: 52.900, steps: 259
Episode 1: reward: 52.900, steps: 259
Episode 2: reward: 12.800, steps: 98
Episode 3: reward: 44.500, steps: 225
Episode 4: reward: 22.400, steps: 134
Episode 5: reward: -2.000, steps: 40
Episode 6: reward: 12.900, steps: 99
Episode 7: reward: 51.500, steps: 255
Episode 8: reward: 4.200, steps: 62
Episode 9: reward: 11.100, steps: 91
Episode 10: reward: 7.600, steps: 76
Episode 11: reward: 5.400, steps: 64
Episode 12: reward: 12.300, steps: 93
Episode 13: reward: 23.800, steps: 138
Episode 14: reward: -0.500, steps: 45
Episode 15: reward: 5.900, steps: 69
Episode 16: reward: 44.600, steps: 226
Episode 17: reward: 42.200, steps: 212
Episode 18: reward: 9.000, steps: 80
Episode 19: reward: 14.000, steps: 100
Episode 20: reward: 88.900, steps: 389
Episode 21: reward: 73.300, steps: 333
Episode 22: reward: 5.900, steps: 69
Episode 23: reward: -4.400, steps: 26
Episode 24: reward: 31.300, steps: 173
Episode 25: reward: -2.000, steps: 40
Episode 26: reward: 9.100, steps: 81
Episode 27: reward: 54.000, steps: 260
Episode 28: reward: 8.800, steps: 78
Episode 29: reward: 84.800, steps: 378
Episode 30: reward: 36.000, steps: 190
Episode 31: reward: 2.300, steps: 53
Episode 32: reward: 10.600, steps: 86
Episode 33: reward: 4.900, steps: 69
Episode 34: reward: 11.200, steps: 92
Episode 35: reward: 95.400, steps: 414
Episode 36: reward: 25.000, steps: 150
Episode 37: reward: 27.800, steps: 158
Episode 38: reward: 46.200, steps: 232
Episode 39: reward: 53.100, steps: 261
Episode 40: reward: 17.500, steps: 115
Episode 41: reward: 42.200, steps: 212
Episode 42: reward: 14.100, steps: 101
Episode 43: reward: 98.000, steps: 430
Episode 44: reward: 42.200, steps: 212
Episode 45: reward: 27.700, steps: 157
Episode 46: reward: 11.100, steps: 91
Episode 47: reward: 7.700, steps: 77
Episode 48: reward: 9.500, steps: 85
Episode 49: reward: 88.000, steps: 390
Episode 50: reward: 32.600, steps: 176
Episode 1: reward: 18.100, steps: 121
Episode 2: reward: 37.100, steps: 191
Episode 3: reward: 53.900, steps: 259
Episode 4: reward: 86.200, steps: 382
Episode 5: reward: 42.900, steps: 219
Episode 6: reward: 56.400, steps: 274
Episode 7: reward: 5.800, steps: 68
Episode 8: reward: 4.600, steps: 66
Episode 9: reward: 114.800, steps: 498
Episode 10: reward: 110.700, steps: 477
Episode 11: reward: 59.800, steps: 288
Episode 12: reward: 4.900, steps: 69
Episode 13: reward: 113.700, steps: 497
Episode 14: reward: 79.800, steps: 358
Episode 15: reward: 71.300, steps: 323
Episode 16: reward: 32.800, steps: 178
Episode 17: reward: 57.400, steps: 274
Episode 18: reward: 27.800, steps: 158
Episode 19: reward: 1.300, steps: 53
Episode 20: reward: 101.100, steps: 441
Episode 21: reward: 81.200, steps: 362
Episode 22: reward: 3.900, steps: 59
Episode 23: reward: 26.800, steps: 158
Episode 24: reward: 155.600, steps: 656
Episode 25: reward: 54.600, steps: 266
Episode 26: reward: 3.000, steps: 60
Episode 27: reward: 24.900, steps: 149
Episode 28: reward: 38.000, steps: 200
Episode 29: reward: 8.000, steps: 80
Episode 30: reward: 3.000, steps: 60
Episode 31: reward: -0.400, steps: 46
Episode 32: reward: 155.800, steps: 658
Episode 33: reward: 35.300, steps: 183
Episode 34: reward: 104.400, steps: 454
Episode 35: reward: 24.700, steps: 147
Episode 36: reward: 4.300, steps: 63
Episode 37: reward: 51.900, steps: 249
Episode 38: reward: 8.800, steps: 78
Episode 39: reward: 22.900, steps: 139
Episode 40: reward: 53.000, steps: 260
Episode 41: reward: 34.200, steps: 182
Episode 42: reward: 59.600, steps: 286
Episode 43: reward: -0.500, steps: 45
Episode 44: reward: 54.300, steps: 263
Episode 45: reward: 27.200, steps: 152
Episode 46: reward: 24.800, steps: 148
Episode 47: reward: 9.200, steps: 82
Episode 48: reward: 2.600, steps: 56
Episode 49: reward: 2.900, steps: 59
Episode 50: reward: 9.000, steps: 80
Episode 1: reward: 55.900, steps: 269
Episode 2: reward: 52.900, steps: 259
Episode 3: reward: 52.900, steps: 259
Episode 4: reward: 201.300, steps: 833
Episode 5: reward: 42.200, steps: 212
Episode 6: reward: 4.600, steps: 66
Episode 7: reward: 16.300, steps: 113
Episode 8: reward: -2.100, steps: 39
Episode 9: reward: 71.400, steps: 324
Episode 10: reward: 47.500, steps: 235
Episode 11: reward: 18.600, steps: 116
Episode 12: reward: 0.900, steps: 49
Episode 13: reward: 37.600, steps: 196
Episode 14: reward: 1.500, steps: 55
Episode 15: reward: 8.000, steps: 80
Episode 16: reward: 21.300, steps: 133
Episode 17: reward: 56.700, steps: 277
Episode 18: reward: 24.800, steps: 148
Episode 19: reward: 19.700, steps: 127
Episode 20: reward: 5.400, steps: 64
Episode 21: reward: 41.800, steps: 218
Episode 22: reward: 1.400, steps: 54
Episode 23: reward: 39.700, steps: 207
Episode 24: reward: 9.500, steps: 85
Episode 25: reward: 40.500, steps: 205
Episode 26: reward: 52.900, steps: 259
Episode 27: reward: 52.900, steps: 259
Episode 28: reward: 2.900, steps: 59
Episode 29: reward: 54.300, steps: 263
Episode 30: reward: 132.200, steps: 572
Episode 31: reward: 82.100, steps: 371
Episode 32: reward: 56.100, steps: 271
Episode 33: reward: 19.500, steps: 125
Episode 34: reward: 53.900, steps: 259
Episode 35: reward: 44.600, steps: 226
Episode 36: reward: 103.000, steps: 450
Episode 37: reward: 7.300, steps: 73
Episode 38: reward: 166.700, steps: 697
Episode 39: reward: 52.900, steps: 259
Episode 40: reward: 53.900, steps: 259
Episode 41: reward: 7.900, steps: 79
Episode 42: reward: 18.600, steps: 116
Episode 43: reward: 52.900, steps: 259
Episode 44: reward: 54.800, steps: 268
Episode 45: reward: 56.400, steps: 274
Episode 46: reward: 11.100, steps: 91
Episode 47: reward: 44.600, steps: 226
Episode 48: reward: 48.000, steps: 240
Episode 49: reward: 39.600, steps: 206
Episode 50: reward: 98.000, steps: 430
Episode 1: reward: 39.300, steps: 203
Episode 2: reward: 25.600, steps: 146
Episode 3: reward: 27.900, steps: 159
Episode 4: reward: 34.800, steps: 188
Episode 5: reward: 7.600, steps: 76
Episode 6: reward: 6.100, steps: 71
Episode 7: reward: 9.500, steps: 85
Episode 8: reward: 54.700, steps: 267
Episode 9: reward: 4.400, steps: 64
Episode 10: reward: 50.200, steps: 242
Episode 11: reward: 19.400, steps: 124
Episode 12: reward: 77.900, steps: 349
Episode 13: reward: -0.500, steps: 45
Episode 14: reward: 54.200, steps: 262
Episode 15: reward: -0.200, steps: 48
Episode 16: reward: 35.900, steps: 189
Episode 17: reward: 49.800, steps: 248
Episode 18: reward: -0.200, steps: 48
Episode 19: reward: 26.200, steps: 152
Episode 20: reward: 79.100, steps: 351
Episode 21: reward: 41.500, steps: 215
Episode 22: reward: 1.100, steps: 51
Episode 23: reward: 127.900, steps: 549
Episode 24: reward: 86.200, steps: 382
Episode 25: reward: 15.800, steps: 108
Episode 26: reward: 40.000, steps: 210
Episode 27: reward: 52.900, steps: 259
Episode 28: reward: 5.900, steps: 69
Episode 29: reward: 6.300, steps: 73
Episode 30: reward: -0.300, steps: 47
Episode 31: reward: 36.000, steps: 190
Episode 32: reward: 106.300, steps: 463
Episode 33: reward: 6.400, steps: 74
Episode 34: reward: 23.300, steps: 143
Episode 35: reward: 9.300, steps: 83
Episode 36: reward: 7.900, steps: 79
Episode 37: reward: 31.200, steps: 172
Episode 38: reward: 33.000, steps: 180
Episode 39: reward: 53.000, steps: 260
Episode 40: reward: 3.700, steps: 57
Episode 41: reward: 19.900, steps: 129
Episode 42: reward: 78.300, steps: 353
Episode 43: reward: 14.600, steps: 106
Episode 44: reward: 6.200, steps: 72
Episode 45: reward: 91.000, steps: 400
Episode 46: reward: 18.200, steps: 122
Episode 47: reward: 42.700, steps: 217
Episode 48: reward: 2.700, steps: 57
Episode 49: reward: 53.700, steps: 257
Episode 50: reward: 39.400, steps: 204
Episode 1: reward: 22.400, steps: 134
Episode 2: reward: 34.200, steps: 182
Episode 3: reward: 15.800, steps: 108
Episode 4: reward: 54.900, steps: 269
Episode 5: reward: 4.200, steps: 62
Episode 6: reward: 3.100, steps: 61
Episode 7: reward: 90.800, steps: 398
Episode 8: reward: 7.100, steps: 71
Episode 9: reward: 6.100, steps: 71
Episode 10: reward: 84.600, steps: 376
Episode 11: reward: 61.500, steps: 295
Episode 12: reward: 24.000, steps: 140
Episode 13: reward: 25.800, steps: 148
Episode 14: reward: 9.000, steps: 80
Episode 15: reward: 75.700, steps: 337
Episode 16: reward: 19.600, steps: 126
Episode 17: reward: 9.400, steps: 84
Episode 18: reward: 47.400, steps: 234
Episode 19: reward: 22.600, steps: 136
Episode 20: reward: 74.800, steps: 338
Episode 21: reward: 55.700, steps: 267
Episode 22: reward: 0.900, steps: 49
Episode 23: reward: 130.800, steps: 558
Episode 24: reward: 92.700, steps: 407
Episode 25: reward: 80.400, steps: 364
Episode 26: reward: 71.200, steps: 322
Episode 27: reward: 26.500, steps: 155
Episode 28: reward: 38.200, steps: 202
Episode 29: reward: 24.400, steps: 144
Episode 30: reward: 87.900, steps: 389
Episode 31: reward: 57.600, steps: 276
Episode 32: reward: 153.200, steps: 642
Episode 33: reward: 131.800, steps: 568
Episode 34: reward: 2.300, steps: 53
Episode 35: reward: 34.800, steps: 188
Episode 36: reward: 6.000, steps: 70
Episode 37: reward: 7.700, steps: 77
Episode 38: reward: 106.500, steps: 465
Episode 39: reward: 58.000, steps: 280
Episode 40: reward: 2.800, steps: 58
Episode 41: reward: 22.200, steps: 132
Episode 42: reward: 47.900, steps: 239
Episode 43: reward: 32.700, steps: 177
Episode 44: reward: 118.200, steps: 512
Episode 45: reward: 7.100, steps: 71
Episode 46: reward: 52.900, steps: 259
Episode 47: reward: 67.800, steps: 308
Episode 48: reward: 85.300, steps: 373
Episode 49: reward: 58.200, steps: 282
Episode 50: reward: 140.300, steps: 593
Episode 1: reward: 5.300, steps: 63
Episode 2: reward: 72.200, steps: 322
